10.2 Monthly Average Wholesale Price- 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,(Per Quintal/Taka),Sl no,Name of Comodity,Year-2018,241,",,",Khesari,"2,979","3,060","3,080","3,077","3,069","3,170","3,151","3,098","3,042","3,105","3,100","3,094",SL:,Name of crops,2012-2013,2013-14,2014-15,2015-16,2016-17,2017-18
(Per Quintal/Taka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,",,",Coarse,"2,431","2,401","2,426","1,924","1,755","1,807","1,842","1,826","1,810","1,739","1,713","1,643","1,943",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,",,",Pajam,-,-,-,-,"2,044","2,019","2,287","2,286","2,044","2,300","2,209","2,237","2,178",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rice Aman :,Fine,"5,476","5,624","5,528","5,562","5,468","5,321","5,332","5,324","5,387","5,319","5,138","5,032","5,376",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,",,",Medium,"4,354","4,339","4,353","4,212","4,164","4,113","4,146","4,090","4,064","4,036","3,816","3,555","4,103",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,",,",Coarse,"3,767","3,780","3,752","3,593","3,522","3,492","3,536","3,522","3,488","3,346","3,098","2,936","3,486",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,",,",Pajam,"5,258","5,385","5,428","5,386","5,164","5,126","5,107","5,035","5,032","4,790","4,754","4,919","5,115",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of Comodity,,Year-2018,,,,,,,,,,,,,Sl no,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice Aus :,Coarse,"3,675","3,675","3,950",-,-,-,-,-,"2,906","2,961","2,901","2,844","3,273",15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice Boro :,Fine,"5,594",-,"5,718","5,653","5,273","5,109","5,119","5,065","5,046","4,941","4,833","4,719","5,188",16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Medium,"4,643","4,710","4,781","4,587","4,177","4,072","4,080","3,998","3,946","3,818","3,736","3,651","4,183",17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice Boro :,Coarse,"3,816","3,795","3,812","3,614","3,478","3,445","3,477","3,419","3,376","3,247","3,125","3,025","3,469",18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Pajam,"4,621",-,"3,775","4,738","4,454","4,775","4,839","4,876","4,735","4,785","4,750","4,970","4,665",19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice O. M. S,Coarse,"3,399","3,433","3,413","3,380","3,401","3,252","3,338","3,313","3,307","3,235","3,163","3,071","3,309",20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice Aromatic,Chinigura,"7,893","7,933","7,902","7,947","7,947","8,015","8,072","8,159","8,175","8,206","8,207","8,178","8,053",21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kalojira,"7,518","7,534","7,492","7,515","7,540","7,621","7,671","7,656","7,736","7,768","7,802","7,800","7,638",22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rice Aromatic
Wheat :
,,",Kataribhog,"6,337","6,438","6,429","6,430","6,429","6,542","6,377","6,480","6,487","6,476","6,427","6,290","6,428",23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red,"2,346","2,351","2,425","2,216","2,258","2,286","2,291","2,314","2,387","2,426","2,440","2,386","2,344",24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,White,"2,372","2,331","2,268","2,190","2,212","2,231","2,234","2,264","2,338","2,381","2,416","2,479","2,310",25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ata :,Loose,"2,376","2,337","2,325","2,315","2,302","2,294","2,281","2,305","2,398","2,403","2,436","2,502","2,356",26,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Packet,"2,995","2,985","2,966","2,960","2,953","2,958","2,956","2,960","2,986","2,986","2,982","2,993","2,973",27,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flour :,Loose,"3,113","3,101","3,107","3,102","3,106","3,096","3,095","3,085","3,127","3,138","3,139","3,174","3,115",28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Packet,"3,985","3,962","3,986","3,974","3,996","4,002","3,997","3,968","4,006","4,013","4,028","4,041","3,996",29,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maize,,"1,913","1,968","2,019","1,989","1,867","1,808","1,752","1,742","1,814","1,793","1,834","1,860","1,863",30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of Comodity,,Year-2018,,,,,,,,,,,,,Sl no,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulses :,Mash,"5,550","5,595","5,641","5,572","5,547","5,314","5,325","5,304","5,338","5,310","5,291","5,598","5,449",31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Masur,"5,062","5,311","5,230","5,322","5,313","5,142","5,009","4,946","4,990","4,873","4,871","4,770","5,070",32,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Mugh,"7,318","6,639","7,319","7,269","6,859","6,429","6,017","6,435","6,706","6,655","6,806","6,807","6,772",33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Gram,"7,745","7,595","7,433","7,140","6,391","5,892","5,840","5,753","5,804","5,874","6,126","6,333","6,494",34,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Motor Local,"4,207","4,097","4,996","3,379","3,454","3,244","3,202","3,054","3,007","2,957","2,935","2,810","3,445",35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Motor Import,"4,207","4,097","4,996","3,379","3,454","3,244","3,202","3,054","3,007","2,957","2,935","2,810","3,445",36,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Khesari,"3,171","3,120","2,959","3,093","3,110","3,048","3,026","2,965","2,982","2,963","3,350","3,035","3,069",37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dall :,Mash Gota,"7,911","7,921","7,805","7,632","7,647","7,461","7,438","7,181","7,135","7,119","6,985","6,930","7,430",38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Broken","7,807","7,689","7,667","7,653","7,665","7,397","7,427","7,313","7,221","7,088","7,005","7,038","7,414",39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,","Masur Local
Gota","8,540","8,506","8,580","8,357","8,354","8,168","8,257","8,224","8,198","7,999","8,117","8,070","8,281",40,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Broken","6,626","6,636","6,565","6,526","6,466","6,387","6,308","6,263","6,268","6,222","6,115","6,026","6,367",41,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Import","7,559","7,751","7,709","7,491","7,543","7,415","7,411","7,579","7,400","7,111","7,244","7,204","7,451",42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
