,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,",,",Jati Medium,"8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500","8,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,",,",Jati general,"6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,",,",Motihar heavy,"14,606","14,680","14,791","14,720","14,616","14,566","14,430","14,502","14,469","14,471","14,473","14,479","14,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,",,",Motihar medium,"10,750","10,794","10,839","10,870","10,827","10,822","10,800","10,806","10,806","10,800","10,803","10,803","10,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,",,",Moti general,"7,617","7,617","7,617","7,617","7,617","7,617","7,630","7,643","7,630","7,617","7,617","7,617","7,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,",,",Varginia(heat),-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,",,",Bangla-1 (heat),-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,",,","Bangle-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,",,","Bangle-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,",,","Bangle-4 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,",,","Bangla-5 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,103.0,",,","Bang;a-7 ,,",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,104.0,",,","Bang;a-8 ,,",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,105.0,",,",Varginia(air),-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,106.0,",,",Dv- 1(air),-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,107.0,",,","DV-2 ,,",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,108.0,",,","DV-3 ,,",-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"41,121","41,370","41,159","41,007","39,574","38,179","37,933","31,493",,,,,,,,,,,,,,,,,,,,,,109.0,"Hide skin:
COW",Light,"27,181","24,090","24,039","23,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"64,711","64,711","64,330","63,987","62,273","61,149","60,643","50,360",,,,,,,,,,,,,,,,,,,,,,110.0,",,",Medium,"43,620","37,426","37,088","36,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"92,260","92,427","91,663","91,510","88,457","87,213","86,520","74,151",,,,,,,,,,,,,,,,,,,,,,111.0,",,",heavy,"64,831","57,605","57,054","56,654","78,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"18,500","18,500","18,500","18,457","18,307","22,386","22,286","25,143",,,,,,,,,,,,,,,,,,,,,,112.0,",,",katachera,"13,968","12,333","12,464","12,464","17,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"78,400","79,600","79,800","79,800","80,000","81,200","81,200","58,500",,,,,,,,,,,,,,,,,,,,,,113.0,"Hide skin
Bufello",heavy,"57,400","50,800","51,750","51,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"52,875","53,625","53,625","53,625","53,625","53,375","53,375","47,500",,,,,,,,,,,,,,,,,,,,,,114.0,",,",medium,"42,500","39,125","39,563","39,563","48,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,115.0,",,",katachera,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"4,489","4,496","4,496","4,511","4,489","4,446","4,418","4,199",,,,,,,,,,,,,,,,,,,,,,116.0,Hide skin,Sheep,"3,572","3,696","3,432","3,432","4,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"6,310","6,331","6,348","6,360","6,285","6,238","6,243","5,550",,,,,,,,,,,,,,,,,,,,,,117.0,",,",Goat,"4,974",-,-,-,"6,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,786,786,786,786,786,786,786,786,,,,,,,,,,,,,,,,,,,,,,118.0,"Chemical
fertilizer",Uria 50 kg,786,786,786,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"1,089","1,089","1,089","1,089","1,089","1,089","1,087","1,087",,,,,,,,,,,,,,,,,,,,,,119.0,",,","TSP ,,","1,087","1,091","1,091","1,092","1,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"1,235","1,235","1,235","1,235","1,235","1,235","1,235","1,235",,,,,,,,,,,,,,,,,,,,,,120.0,",,","DAP ,,","1,235","1,236","1,235","1,236","1,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,732,732,732,732,732,732,732,732,,,,,,,,,,,,,,,,,,,,,,121.0,",,","MP ,,",732,732,732,732,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088",,,,,,,,,,,,,,,,,,,,,,122.0,",,",Zinc LOCAL,"3,088","3,088","3,088","3,088","3,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"3,671","3,671","3,671","3,671","3,671","3,668","3,668","3,668",,,,,,,,,,,,,,,,,,,,,,123.0,",,",Zinc foreign,"3,668","3,664","3,667","3,667","3,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,159,159,159,159,159,159,159,159,,,,,,,,,,,,,,,,,,,,,,124.0,",,",Zipsum,159,159,159,162,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,117,117,117,117,117,117,117,117,,,,,,,,,,,,,,,,,,,,,,125.0,"Organic
fertilizer",Cowdung,117,117,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000",,,,,,,,,,,,,,,,,,,,,,126.0,Powder milk,Bag,"55,000","55,000","55,000","55,000","55,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"5,157","5,148","5,146","5,144","5,196","5,201","5,183","5,225",,,,,,,,,,,,,,,,,,,,,,127.0,Cow Milk,liquid,"5,233",-,-,-,"5,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,"8,500",,,,,,,,,,,,,,,,,,,,,,128.0,",,",milkvita,"8,500",-,-,-,"8,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"79,473","79,473","79,473","78,140","78,420","78,700","78,700","80,440",,,,,,,,,,,,,,,,,,,,,,129.0,Gawa ghee,-,"80,440","80,720","80,550","80,550","79,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"6,519","6,519","6,519","6,519","6,499","6,474","6,485","6,506",,,,,,,,,,,,,,,,,,,,,,130.0,Dano,--,"6,506","6,569","6,569","6,569","6,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"6,455","6,455","6,455","6,455","6,350","6,175","6,175","6,088",,,,,,,,,,,,,,,,,,,,,,131.0,Red cow,-,"6,088","6,350","6,175","6,175","6,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"5,940","5,940","5,940","5,940","5,925","5,900","5,925","5,925",,,,,,,,,,,,,,,,,,,,,,132.0,Anchor,-,"5,925","6,000","6,000","6,000","5,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"2,193","2,192","2,190","2,188","2,194","2,193","2,194","2,194",,,,,,,,,,,,,,,,,,,,,,133.0,Condensed,One kartoon,"2,193","2,184","2,184","2,184","2,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Local
large(900gm+)",,"31,896","33,329","35,549","38,925","38,783","37,246","35,230","33,408","33,324","33,568","33,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,"Hen/chicken
-Live","31,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"34,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",,
medium(700gm+)",,"32,630","34,710","36,710","39,912","39,805","38,001","36,292","34,410","33,655","33,614","33,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,",,","32,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"35,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",, small(500gm+)",,"32,481","34,523","36,136","39,156","38,908","36,142","34,212","32,842","32,787","33,512","33,420","34,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,",,","31,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Farm broiler,,"12,540","13,438","13,765","12,792","12,174","11,371","10,573","11,092","11,465","10,785","10,467","11,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,",,","11,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Duck,,"25,963","29,110","27,159","30,098","30,591","29,438","27,674","25,321","23,103","23,568","27,292","27,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,",,","26,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cow,,"44,193","45,808","47,186","48,237","48,808","48,811","49,494","49,625","49,740","49,762","49,401","47,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,Meat,"42,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Goat,,"65,966","66,388","68,056","68,140","67,327","67,360","68,694","69,014","68,909","68,909","68,909","67,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,",,","65,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chicken local,,"1,023","1,076","1,086","1,059","1,064","1,081","1,091","1,089","1,086","1,097","1,084","1,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,Egg,"1,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Farm red,,751,787,777,696,754,836,828,781,832,763,732,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,",,",742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Farm white,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,",,",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,duck,,"1,017","1,049","1,064",941,941,995,"1,084",988,"1,022","1,019","1,020","1,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,",,",995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Rui local
big(5+kg)",,"31,050","33,925","31,806","31,135","33,460","33,003","34,781","36,167","37,667","36,200","36,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,"Fish
(Ka):Fresh","31,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"33,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Rui local
(2.5+kg)medium",,"28,767","29,402","29,653","30,535","31,103","30,840","30,756","30,192","30,180","29,761","29,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,",,","28,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"29,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Rui local small
(1.5+kg)",,"23,691","24,789","25,307","25,040","26,377","26,444","26,359","25,820","25,613","25,519","25,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,",,","22,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"25,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Imported
medium(2.5+kg)",,"22,980","23,740","23,650","24,413","23,532","24,275","24,016","23,158","24,111","24,388","24,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,",,","22,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"23,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Imported small,,"19,496","20,109","21,278",-,"21,007","21,474","20,860","20,338","20,873","20,239","20,898",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,",,","19,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Katal large,,"35,000","34,500","33,042","34,100","27,604","30,239","30,175","31,396","32,940","31,854","33,350","32,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,",,","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,medium,,"28,271","28,026","28,659","29,268","30,035","29,789","29,774","29,493","29,170","29,056","29,125","29,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,",,","28,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,small,,"21,655","22,132","22,806","23,439","23,398","23,354","23,666","23,075","23,089","22,989","22,915","22,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,",,","21,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrigel large,,"19,541","20,095","20,567","20,500","19,921","21,343","21,059","20,264","20,394","20,772","20,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,"Fish
(Ka):Live","18,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"20,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",, small",,"14,339","14,719","14,911","15,454","15,569","15,717","15,450","15,164","15,665","15,406","15,843","15,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,",,","13,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Airr large,,"51,542","57,444","55,500","57,667","55,917","57,583","75,000","54,111","50,333","53,417","46,750","56,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,",,","61,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",, small",,"41,625","42,889","41,625","44,520","45,250","47,600","47,550","45,278","36,438","42,964","41,031","43,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,",,","42,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Boal large,,"60,625","62,188","64,550","63,460","62,250","60,200","59,100","59,517","59,400","60,600","58,600","60,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,",,","57,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",, Small",,"35,637","36,548","36,667","38,142","40,500","41,056","42,143","41,346","39,984","38,407","38,938","38,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,",,","35,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chital large,,"77,500","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","81,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,",,","52,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chital small,,"42,500","36,250","42,500","43,125","45,000","45,000","45,000","45,000","45,000","31,750","31,750","40,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,",,","38,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pangush larges,,"10,851","11,608","12,181","12,763","12,628","12,274","11,958","11,889","12,197","12,092","11,851","11,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,",,","10,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",, small",,"9,178","9,634","10,035","10,393","10,392","10,282","10,167","9,990","10,136","10,019","9,947","9,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,",,","8,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,164.0,Prawn bagda,"57,150","59,088","64,641","64,109","64,364","63,016","64,525","60,382","61,167","59,950","59,091","59,925","61,451",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,165.0,golda,"54,914","56,917","58,511","58,799","58,163","54,175","57,525","60,016","60,235","60,343","61,267","60,525","58,449",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,166.0,small,"33,843","33,804","36,083","36,798","35,888","36,720","40,550","39,904","38,149","37,223","38,750","37,643","37,113",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,167.0,Koii,"16,685","15,051","16,365","16,097","17,208","17,408","17,829","18,158","18,146","16,804","16,939","16,855","16,962",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,168.0,Magur,"56,748","55,688","58,924","61,318","61,261","61,250","62,125","63,773","63,780","63,455","63,318","60,932","61,048",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,169.0,Shing,"44,093","46,013","47,842","46,784","47,938","46,958","48,760","48,408","46,255","45,938","45,414","44,102","46,542",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,170.0,Silvar curp,"11,855","12,072","12,458","13,101","13,465","13,547","13,535","13,436","13,313","13,313","13,159","13,070","13,027",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,171.0,Grass curp,"14,043","14,255","15,167","15,588","16,096","16,134","16,226","16,249","16,154","16,006","15,928","15,542","15,616",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,172.0,Telapia,"11,357","11,509","11,964","12,275","12,737","12,809","12,819","12,750","12,642","12,587","12,550","12,295","12,358",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,,,,,,,173.0,Rupchada,"71,111","59,167","63,375","55,500","61,008","63,756","63,750","63,750","63,750","63,750","63,750","80,000","64,389",,,,,,,,,,,,,,,,,,,,,,,,
