(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
31,Pulses :,Mash,"5,550","5,595","5,641","5,572","5,547","5,314","5,325","5,304","5,338","5,310","5,291","5,598","5,449"
,,,,,,,,,,,,,,,
32,",,",Masur,"5,062","5,311","5,230","5,322","5,313","5,142","5,009","4,946","4,990","4,873","4,871","4,770","5,070"
,,,,,,,,,,,,,,,
33,",,",Mugh,"7,318","6,639","7,319","7,269","6,859","6,429","6,017","6,435","6,706","6,655","6,806","6,807","6,772"
,,,,,,,,,,,,,,,
34,",,",Gram,"7,745","7,595","7,433","7,140","6,391","5,892","5,840","5,753","5,804","5,874","6,126","6,333","6,494"
,,,,,,,,,,,,,,,
35,",,",Motor Local,"4,207","4,097","4,996","3,379","3,454","3,244","3,202","3,054","3,007","2,957","2,935","2,810","3,445"
,,,,,,,,,,,,,,,
36,",,",Motor Import,"4,207","4,097","4,996","3,379","3,454","3,244","3,202","3,054","3,007","2,957","2,935","2,810","3,445"
,,,,,,,,,,,,,,,
37,",,",Khesari,"3,171","3,120","2,959","3,093","3,110","3,048","3,026","2,965","2,982","2,963","3,350","3,035","3,069"
,,,,,,,,,,,,,,,
38,Dall :,Mash Gota,"7,911","7,921","7,805","7,632","7,647","7,461","7,438","7,181","7,135","7,119","6,985","6,930","7,430"
,,,,,,,,,,,,,,,
39,",,",",, Broken","7,807","7,689","7,667","7,653","7,665","7,397","7,427","7,313","7,221","7,088","7,005","7,038","7,414"
,,,,,,,,,,,,,,,
40,",,","Masur Local
Gota","8,540","8,506","8,580","8,357","8,354","8,168","8,257","8,224","8,198","7,999","8,117","8,070","8,281"
,,,,,,,,,,,,,,,
41,",,",",, Broken","6,626","6,636","6,565","6,526","6,466","6,387","6,308","6,263","6,268","6,222","6,115","6,026","6,367"
,,,,,,,,,,,,,,,
42,",,",",, Import","7,559","7,751","7,709","7,491","7,543","7,415","7,411","7,579","7,400","7,111","7,244","7,204","7,451"
,,,,,,,,,,,,,,,
43,",,",Mugh Local,"11,372","11,904","11,949","11,798","11,672","11,103","10,663","10,056","9,777","9,766","9,689","9,652","10,783"
,,,,,,,,,,,,,,,
44,",,",Gram Gota,"8,375","8,490","8,351","7,980","7,558","7,161","7,171","7,019","6,892","6,821","6,945","7,084","7,487"
,,,,,,,,,,,,,,,
45,",,",",, Broken","8,361","8,198","8,055","7,819","7,407","7,211","6,838","6,850","6,812","6,840","6,860","7,058","7,359"
,,,,,,,,,,,,,,,
46,Dall :,Motor Local,"7,106","8,008","7,427","6,181","5,871","5,788","5,697","5,203","5,339","5,009","4,883","4,830","5,945"
,,,,,,,,,,,,,,,
